South_Ferry Rector_Street
Church_Avenue Fort_Hamilton_Parkway
Fort_Hamilton_Parkway 15th_Street–Prospect_Park
15th_Street–Prospect_Park 7th_Avenue
7th_Avenue 4th_Avenue–9th_Street
4th_Avenue–9th_Street Smith_9th_Streets
Smith_9th_Streets Carroll_Street
Carroll_Street Bergen_Street
Bergen_Street Jay_Street–MetroTech
Jay_Street–MetroTech York_Street
York_Street East_Broadway
East_Broadway Delancey_Street–Essex_Street
Delancey_Street–Essex_Street 2nd_Avenue–Lower_East_Side
2nd_Avenue–Lower_East_Side Broadway–Lafayette_Street
Broadway–Lafayette_Street West_4th_Street–Washington_Square
West_4th_Street–Washington_Square 23rd_Street
23rd_Street 34th_Street–Herald_Square
34th_Street–Herald_Square 5th_Avenue
5th_Avenue 47th–50th_Streets–Rockefeller_Center
47th–50th_Streets–Rockefeller_Center 57th_Street
57th_Street Lexington_Avenue–63rd_Street
Lexington_Avenue–63rd_Street Roosevelt_Island
Roosevelt_Island 21st_Street–Queensbridge
21st_Street–Queensbridge 74th_Street–Broadway
74th_Street–Broadway Forest_Hills–71st_Avenue
Forest_Hills–71st_Avenue 75th_Avenue
75th_Avenue Kew_Gardens–Union_Turnpike
Kew_Gardens–Union_Turnpike Briarwood–Van_Wyck_Boulevard
Briarwood–Van_Wyck_Boulevard Sutphin_Boulevard
Sutphin_Boulevard Parsons_Boulevard
Parsons_Boulevard 169th_Street
169th_Street Jamaica–179th_Street
Jamaica–179th_Street 23rd_Street
Church_Avenue Fort_Hamilton_Parkway
Fort_Hamilton_Parkway 15th_Street–Prospect_Park
15th_Street–Prospect_Park Carroll_Street
Carroll_Street Bergen_Street
Bergen_Street Hoyt–Schermerhorn_Streets
Hoyt–Schermerhorn_Streets Fulton_Street
Fulton_Street Clinton–Washington_Avenues
Clinton–Washington_Avenues Classon_Ave
Classon_Ave Bedford–Nostrand_Avenues
Bedford–Nostrand_Avenues Myrtle–Willoughby_Avenues
Myrtle–Willoughby_Avenues Flushing_Avenue
Flushing_Avenue Broadway
Broadway Nassau_Avenue
Nassau_Avenue Greenpoint_Avenue
Greenpoint_Avenue 21st_Street
21st_Street Court_Square
Court_Square Metropolitan_Avenue
Metropolitan_Avenue 7th_Avenue
7th_Avenue 4th_Avenue–9th_Street
4th_Avenue–9th_Street Smith_9th_Streets
Broad_Street Fulton_Street
Fulton_Street Park_Place
Park_Place Canal_Street
Canal_Street Bowery
Bowery Delancey_Street–Essex_Street
Delancey_Street–Essex_Street Marcy_Avenue
Marcy_Avenue Hewes_Street
Hewes_Street Metropolitan_Avenue
Metropolitan_Avenue Flushing_Avenue
Flushing_Avenue Myrtle_Avenue
Myrtle_Avenue Kosciuszko_Street
Kosciuszko_Street Gates_Avenue
Gates_Avenue Halsey_Street
Halsey_Street Chauncey_Street
Chauncey_Street Broadway_Junction
Broadway_Junction Alabama_Avenue
Alabama_Avenue Van_Siclen_Avenue
Van_Siclen_Avenue Cleveland_Street
Cleveland_Street Norwood_Avenue
Norwood_Avenue Crescent_Street
Crescent_Street Cypress_Hills
Cypress_Hills 75th_Street–Elderts_Lane
75th_Street–Elderts_Lane 85th_Street–Forest_Parkway
85th_Street–Forest_Parkway Woodhaven_Boulevard
Woodhaven_Boulevard 104th_Street
104th_Street 111th_Street
111th_Street 121st_Street
121st_Street Sutphin_Boulevard–Archer_Avenue–JFK_Airport
Sutphin_Boulevard–Archer_Avenue–JFK_Airport Jamaica_Center–Parsons/Archer
14th_Street 14th_Street–Union_Square
14th_Street–Union_Square 3rd_Avenue
3rd_Avenue 1st_Avenue
1st_Avenue Bedford_Avenue
Bedford_Avenue Metropolitan_Avenue
